Donor,Deflatorvalue
Agri-Systems,1.0154
Agriterra,1.0154
AGROCARE Community Development Association,1.0154
Agronomes et Vétérinaires Sans Frontières,1.0154
AGROSPHERE,1.0154
AH Dames Suisse,1.0154
AICF-F,1.0154
Aid for Central Africa,1.0154
Aid for Refugees and Orphans,1.0154
Aide à l'Enfance de Canada,1.0154
Aide à l''Enfance de l''Inde,1.0154
Aide et Action,1.0154
Aide Médicale  InterNationale ,1.0154
AIDER,1.0154
Aids Foundation for Children,1.0154
AIG Disaster Relief Fund,1.0154
AiN - Afghanistankomiteen i Norge,1.0154
AÏNA (Afghanistan),1.0154
Air Cargo Associates,1.0154
Air Charter World,1.0154
Air Force Contracting Augmentation Program,1.0154
Air Products,1.0154
Air Serv InterNational,1.0154
Airamid Health Management,1.0154
Airbus Foundation,1.0154
Airline Cargo Service,1.0154
AISHA Association for Woman and Child Protection,1.0154
AK Steel,1.0154
Akin Gump Strauss Hauer & Feld LLP,1.0154
Aktion Afrika Hilfe,1.0154
Aktion Deutschland Hilft,1.0154
Al Afran Media and Culture ,1.0154
Al Anbar Center for Humanitarian Relief,1.0154
Al ghara Charity Organization-Jordan,1.0154
Al Ihsan NGO,1.0154
Al Maktoum Foundation,1.0154
Al Mamoura Humanitarian Establishment,1.0154
Al Manar Voluntary Organization,1.0154
Al Zubair Charity Organisation,1.0154
Al-Afeea Fund,1.0154
Al-Ahleya Association for the development of palm and dates,1.0154
Al-Amal Charity Organization for the Disabled,1.0154
Al-Amal Community for Social Welfare,1.0154
"Al-Aqsa Islamic Society, USA",1.0154
Alaska Sudan Medical Project,1.0154
Albania,1.0301
Albanian Red Cross,1.0154
Alcoa Foundation,1.0154
Alcon Laboratories,1.0154
ALDHU - Latin American Association for Human Rights ,1.0154
ALDI,1.0154
AlertNet,1.0154
Alexander Bodini Foundation,1.0154
Alfajr Palestinian Youth Association,1.0154
Algeria,0.9741
Algerian Red Crescent,1.0154
Algerian Red Crescent Society,1.0154
ALICORP,1.0154
Al-Islah Association,1.0154
Alive and kicking,1.0154
Al-Khidmat Foundation,1.0154
All Hands Volunteers (previously Hands On Disaster Response),1.0154
AllianceBernstein Holding L.P.,1.0154
Allianz Life Insurance Company of North America ,1.0154
Allianz Mission,1.0154
Allocation  of unearmarked funds by UNDG/EXECCOMM Secretariat,1.0154
Allocation from UNVTF/Mine Action,1.0154
Allocation of unearmarked funds,1.0154
Allocation of unearmarked funds by DPKO,1.0154
Allocation of unearmarked funds by FAO,1.0154
Allocation of unearmarked funds by ILO,1.0154
Allocation of unearmarked funds by IOM,1.0154
Allocation of unearmarked funds by OCHA,1.0154
Allocation of unearmarked funds by OHCHR,1.0154
Allocation of unearmarked funds by UNAIDS,1.0154
Allocation of unearmarked funds by UNDP,1.0154
Allocation of unearmarked funds by UNDP for UNDSS,1.0154
Allocation of unearmarked funds by UNDSS,1.0154
Allocation of unearmarked funds by UNEP,1.0154
Allocation of unearmarked funds by UNESCAP,1.0154
Allocation of unearmarked funds by UNESCO,1.0154
Allocation of unearmarked funds by UNFPA,1.0154
Allocation of unearmarked funds by UN-HABITAT,1.0154
Allocation of unearmarked funds by UNHCR,1.0154
Allocation of unearmarked funds by UNICEF,1.0154
Allocation of unearmarked funds by UNIFIL,1.0154
Allocation of unearmarked funds by UNMAS,1.0154
Allocation of unearmarked funds by UNOPS,1.0154
Allocation of unearmarked funds by UNV,1.0154
Allocation of unearmarked funds by WFP,1.0154
Allocation of unearmarked funds by WHO,1.0154
Allocation of unearmarked funds by WMO,1.0154
Allstate Foundation,1.0154
Almanar Voluntary Organization,1.0154
Almassar Charity Organization for Nomads,1.0154
ALNAP - Active Learning Network for Accountability and Performance,1.0154
Alnour Wal Amal Association,1.0154
Al-Ofiq Organization for Development and Emergency,1.0154
Alola Foundation,1.0154
Alpha Ujuvi,1.0154
Alpistan,1.0154
Al-Sabeel Foundation for Social Development,1.0154
Alsalam Organization for Rehabilitation and Development,1.0154
Alshroog Organization for Social and Culture Development,1.0154
Alternative,1.0154
Alternative/SCF-UK,1.0154
Altria Group,1.0154
Al-Yousser Organization for Assistance & Rehabilitation Assistance & Rehabilitation Assistance & Rehabilitation,1.0154
Aman Organization,1.0154
AMAR Foundation,1.0154
Ambassador's Authority,1.0154
AMDA InterNational,1.0154
AMEL,1.0154
America Continental 2000,1.0154
American Bar Association,1.0154
American Center for InterNational Labor,1.0154
American Charities for Palestine,1.0154
American Council for Voluntary InterNational Action,1.0154
American Egg Board,1.0154
American Express Company,1.0154
American Friends of UNRWA,1.0154
American Friends Service Committee,1.0154
American Institutes for Research,1.0154
American Jewish Joint Distribution Committee,1.0154
American Jewish World Service,1.0154
American Lebanese Language Center,1.0154
American Near East Refugee Aid,1.0154
American Red Cross,1.0154
American Refugee Committee,1.0154
American Rescue Committee,1.0154
Americares,1.0154
America's Development Foundation ,1.0154
"Ameriprise Financial, Inc.",1.0154
Amgen,1.0154
AMICA e.V,1.0154
Amica hilft in Bosnien e.V.,1.0154
Amis des Personnes en Détresse,1.0154
Amitie sans Frontieres,1.0154
AMITY FOUNDATION,1.0154
AMMAN CENTER HUMAN RIGHTS STUDIES,1.0154
Amnesty InterNational Norge,1.0154
AMURT (Ananda Marga Universal Relief Team) (Switzerland),1.0154
AMURT InterNational,1.0154
Amway,1.0154
ANA Airlines,1.0154
Andean Development Corporation,1.0154
Andorra,1.0154
Andorran Red Cross,1.0154
Angel Network,1.0154
ANGLO AMERICAN PLC,1.0154
Angola,0
Angola Red Cross,1.0154
"Anhar for Peace, Development and Humanitarian Work Organization",1.0154
"Anheuser-Busch Companies, Inc.",1.0154
Anna Lininger,1.0154
Annie E. Casey Foundation,1.0154
ANSO / IRC,1.0154
Antares Foundation,1.0154
Antenna Technologies Grands Lacs (ATGL),1.0154
Antigua and Barbuda,1.0147
AP Moller Maersk Group,1.0154
APEC (Association pour la protection de l'enfance  au Congo),1.0154
APEDE,1.0154
APHEDA,1.0154
APOPO,1.0154
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),1.0154
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),1.0154
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),1.0154
Apostolic Christian World Relief,1.0154
"Applied Materials, Inc.",1.0154
Applied Research Institute Jerusalem,1.0154
APPRONA,1.0154
Appui aux Femmes Démunies et Enfants Marginalisés,1.0154
Appui aux Initiatives de Bien Etre Familial,1.0154
AQUADEV,1.0154
Arab Agronomist Association,1.0154
Arab Association for Human Rights,1.0154
Arab Authority for Agricultural Investment and Development ,1.0154
Arab Fund for Human Rights,1.0154
Arab Gulf Programme,1.0154
Arab Gulf Programme for United Nations Development Organizations,1.0154
Arab League,1.0154
Arab Medical Association,1.0154
Arab Medical Equipment and Services Organization,1.0154
Arab Medical Union,1.0154
Arab Network for Tolerance,1.0154
Arab Physicians Federation,1.0154
Arab Reporters for Investigative Journalism,1.0154
Arab Women Association,1.0154
Aragti Relief and Development Organization,1.0154
Aramark,1.0154
Aramex InterNational,1.0154
Arbeiter-Samariter-Bund Deutschland e.V,1.0154
Arbeiterwohlfahrt Bayern,1.0154
ARC EN CIEL,1.0154
ArcelorMittal Foundation,1.0154
Archdiocese of Kisumu,1.0154
Arche de l'Alliance,1.0154
Arche Nova E.V. - Initiative for People in Need,1.0154
Archer Daniels Midland Company,1.0154
Architectes de l'urgence,1.0154
Arcos Dorados B.V.,1.0154
"Area Staff Union, HQ/Amman",1.0154
ARESA,1.0154
AREU - Afghan Research and Evaluation Unit,1.0154
Argentina,0.8747
Argentina Red Cross,1.0154
Argentine Red Cross,1.0154
Argos Cement Company,1.0154
"ARIGATOU FOUNDATION, JAPAN",1.0154
Armadilla S.c.s. Onlus,1.0154
Armée du salut,1.0154
Armée du Salut Kalemie,1.0154
Armenia,0.9894
Armenian Red Cross Society,1.0154
Armenian Relief Society,1.0154
Armstrong,1.0154
Army Corps of Engineers,1.0154
Arno Kobamaron CBO,1.0154
ARTICLE 19,1.0154
Article 36,1.0154
"Arts for Peace	",1.0154
Ärzte ohne Grenzen e.V.,1.0154
ASAL,1.0154
Asamblea De Cooperacion Por La Paz,1.0154
ASASE,1.0154
ASCHIANA,1.0154
ASEP,1.0154
Asia Foundation,1.0154
ASIA Onlus,1.0154
Asia Pacific Permanent Representatives' Spouses Group,1.0154
Asian Development Bank,1.0154
Asian Disaster Preparedness Centre,1.0154
Asian Disaster Reduction Center,1.0154
Asian Network for Free Election,1.0154
Asmae Soeur Emmanuelle,1.0154
Asociacion de Trabajadores y Tecnicos Sin Fronteras,1.0154
Asociación de Trabajadores y Técnicos Sin Fronteras,1.0154
asociacion para la cooperacion con el sur,1.0154
Assessment Capacities Project,1.0154
Assistance Mission Africa,1.0154
Assistência Médica Internacional (AMI),1.0154
Assisting Marsh Arabs and Refugees,1.0154
Associação Saúde em Português,1.0154
Associated Banc-Corp,1.0154
Associates in Rural Development,1.0154
Association d'aide à la femme et de la communication,1.0154
"Association de soutien aux refugies, aux personnes deplacees et aux detenus",1.0154
Association Develop Horn,1.0154
Association for Aid and Relief,1.0154
Association for Aid and Relief Japan,1.0154
"Association for Cooperation, Interchange and Culture",1.0154
Association for Empowerment of Persons with Disabilities,1.0154
Association for Gender Awareness and Human Empowerment,1.0154
Association for Humanitarian Development,1.0154
Association for Humanity Development,1.0154
Association for People's Cooperation between South and North Korea,1.0154
Association for Promoting Social Action,1.0154
Association for the Advancement of Democratic Rights-Legal Aid,1.0154
Association for the Prevention of Torture,1.0154
Association Francaise de soutien a UNHCR ,1.0154
Association française pour la prévention des catastrophes naturelles,1.0154
Association Francois-Xavier Bagnoud,1.0154
Association Fraternite Universelle,1.0154
Association Humanitaire AKAMASOA,1.0154
Association Idée-elles,1.0154
Association InterNationale des Soldats de la Paix,1.0154
Association libanaise de l'Ordre de Malte,1.0154
Association Luxembourg Pérou,1.0154
ASSOCIATION MEDICALE FRANCO-ASIATIQUE,1.0154
Association Morija,1.0154
Association Notre Dame de Protection,1.0154
Association of Chinese Evangelical Ministry Limited,1.0154
Association of Christian Resource Organizations Serving Sudan,1.0154
Association of Development Awareness and Motivation,1.0154
Association of Evangelicals in Africa,1.0154
Association of International Development Agencies,1.0154
Association of Major Superious of Religious Women in Korea,1.0154
Association of Southeast Asian Nations,1.0154
Association of South-North Kang-Won Province Cooperation,1.0154
Association Persis Valais,1.0154
Association pour la Coopération Technique et au Développement,1.0154
Association pour la protection de l'enfant de la guerre,1.0154
Association pour la Santé Familiale (ASF),1.0154
Association pour le développement de M'Bres,1.0154
Association pour le développement social et la sauvegarde de l’environnement,1.0154
Association pour le Progres et la Defense des Droits des Femmes,1.0154
Association pour les enfants oubliés,1.0154
Association Rég. d'Appro. en Médicaments Essentiels,1.0154
Association rwandaise des conseillers en traumatisme ,1.0154
ASSOCIATION SOLIDARITE MAROC PALESTINE,1.0154
Associazione Amici dell’Oasis Togo,1.0154
Associazione Italiana Amici di Raoul Follereau,1.0154
Associazione Italiana per La Solidarieta Tra I Popoli (AISPO-ITA),1.0154
Associazione par la Solidarieta Internazionale in Asia,1.0154
Associazione per la cooperazione internazionale e l'aiuto umanitario,1.0154
Associazione per la Participazione allo Svillupo,1.0154
Associazione Volontari per il Servizio Internazionale,1.0154
ASSODLO - Assoc. Haïtienne pour la Maîtrise des Sols et des Eaux,1.0154
Astellas,1.0154
Astoria Federal Savings,1.0154
AstraZeneca,1.0154
ASUR - Appui aux populations déplacées,1.0154
AT&T Foundation,1.0154
ATAV - Assoc. Tsunami Aides aux Victimes,1.0154
ATDL BUKAVU,1.0154
Atlantic Philanthropies,1.0154
ATLAS,1.0154
Atlas Logistique,1.0154
Auschwitz-Birkenau Foundation,1.0154
AUSTCARE - Australian Care for Refugees,1.0154
Australia,0.997
Australia for UNHCR,1.0154
Australia Red Cross,1.0154
Australian Aid InterNational,1.0154
Australian Community Assistance Scheme,1.0154
Australian Red Cross,1.0154
Australian Volunteers InterNational,1.0154
Australians Care for Refugees,1.0154
Austria,1.021
Austria for UNHCR,1.0154
Austrian Development Agency,1.0154
Austrian Embassy/Armenia,1.0154
Austrian Red Cross,1.0154
Autorités locales,1.0154
Avenir pour les orphelins au Burundi,1.0154
Aviation Assistance A/S,1.0154
Aviation Sans Frontieres,1.0154
Aviation Sans Frontieres Belgium,1.0154
Aviation Sans Frontieres France,1.0154
Avocats Sans Frontieres,1.0154
Avon,1.0154
AVRE -Support to Victims for Emotional Recovery,1.0154
AVREO,1.0154
AVSF - Agronomes y Veterinaries sans Frontières,1.0154
Award,1.0154
Awaz Foundation Pakistan Center for Development Services,1.0154
Aweil Relief Agency for Reintegration and Development,1.0154
Aweil Window of Opportunities and Development Agency,1.0154
AWWD,1.0154
AXA Canada,1.0154
AXA Group,1.0154
Ayuda en Accion,1.0154
AYUUB Organization,1.0154
Azat Foundation,1.0154
Azerbaijan,0.6764
Azerbaijan Red Crescent,1.0154
Azza Women Association,1.0154
B2Gold,1.0154
Ba Futuru / For The Future,1.0154
Bacardi Limited,1.0154
Backus y Cervesur,1.0154
Badil Resource Center for Palestinian Residency and Refugee Rights,1.0154
Badin Development Organization,1.0154
BAHA'I InterNational COMMUNITY,1.0154
Bahamas,1.0154
Bahamas Red Cross,1.0154
Bahamas Red Cross Society,1.0154
Bahrain,1.0016
Bahrain Red Crescent,1.0154
Bahrain Red Crescent Society,1.0154
Bakpiny Community Development Agency,1.0154
Balancing entry of ERF allocations,1.0154
"Balay Mindanaw Foundation, Inc.",1.0154
Balcombe,1.0154
Balkanactive van de gemeenten,1.0154
Balochistan Environmental and Educational Journey,1.0154
Balochistan Rural Development Society,1.0154
Baluchistan Boys Scouts Association,1.0154
BAM - Federal Institute for Materials Research and Testing,1.0154
Banesco Bank Venezuela,1.0154
Bangladesh,1.0269
Bangladesh Red Crescent Society,1.0154
Bangladesh Rural Advancement Committee,1.0154
Bank of America Corporation,1.0154
Bank of Palestine,1.0154
Bank of West,1.0154
BAPPENAS - Indonesia National Development Planning Agency,1.0154
Baptist Aotearoa NZ Aid,1.0154
Baptist World Aid,1.0154
Bär + Leu,1.0154
Barbados,1.003
Barbados Red Cross,1.0154
Barbados Red Cross Society,1.0154
Barclay's Foundation,1.0154
Barclays Ghana,1.0154
Barneombudet,1.0154
BASF,1.0154
Bashaer,1.0154
Basic Education and Employable Skill Training,1.0154
Basic Needs,1.0154
Baxter InterNational Foundation,1.0154
Bayer,1.0154
BBC World Service Trust,1.0154
BCIE,1.0154
BD,1.0154
BDC Anglican,1.0154
BDCD,1.0154
BDD BUKAVU,1.0154
BDD Kasongo,1.0154
Beaconhouse,1.0154
Bearing Point,1.0154
Bechtel,1.0154
"Becton, Dickson and Company",1.0154
Bel Avenir,1.0154
Belarus,0.9085
Belarus Red Cross,1.0154
Belarusian Red Cross,1.0154
Belgian Air Force,1.0154
Belgian First Aid and Support Team,1.0154
Belgian Red Cross,1.0154
Belgium,1.0202
Belgium Red Cross,1.0154
Belize,1.0096
Belize Red Cross,1.0154
Belize Red Cross Society,1.0154
Belun,1.0154
Benfica Foundation,1.0154
Benin,1.0073
Benposta Nación de Muchachos,1.0154
BEPROD,1.0154
Berkat,1.0154
Bernard van Leer Foundation,1.0154
Berne helps Lviv,1.0154
Berne University,1.0154
Bertelsmann AG,1.0154
Best Buy Children's Foundation,1.0154
"Best Buy Co., Inc. ",1.0154
BGR - German Federal Institute for Geosciences and Natural Resources ,1.0154
BHN Association -Telecom for Basic Human Needs,1.0154
Bhutan,0.9749
BID,1.0154
Bidan Kesehatan Department of Health Indonesia,1.0154
Bienvenu Refugee Shelter,1.0154
BIJOU Trust,1.0154
Bilateral (to affected government),1.0154
Bilkent Holding,1.0154
Bill and Melinda Gates Foundation,1.0154
Bill Emerson Humanitarian Trust,1.0154
Bioforce,1.0154
Biogen Idec,1.0154
Biomet Inc.,1.0154
Birdlife InterNational,1.0154
Bjerknes Centre for Climate Research,1.0154
blank,1.0154
BLD - Barne- og likestillingsdepartementet,1.0154
Blés du désert,1.0154
Bloomberg,1.0154
"Blue Cross and Blue Shield of Minnesota Foundation, Inc.",1.0154
BLU-MED Response Systems ,1.0154
BMaA,1.0154
BMI,1.0154
BMO Financial Group,1.0154
BMVg,1.0154
BMW Group,1.0154
BNPP,1.0154
Boeing Company,1.0154
BOLHISPANIA,1.0154
Bolivia,1.0357
Bolivia Red Cross,1.0154
Bolivian Red Cross,1.0154
Bolivian Red Cross,1.0154
Booz Allen Hamilton,1.0154
BorgWarner,1.0154
Bosnia & Herzegovina,1.0154
Bosnian Red Crescent Society,1.0154
Boston Archiepiscopal Diocese,1.0154
Boston Foundation,1.0154
Boston Foundation (Ansara Family Fund),1.0154
Botswana,0.7366
Botswana Red Cross,1.0154
Botswana Red Cross Society,1.0154
BP Foundation,1.0154
BRASCRI ,1.0154
Brazil,1.0321
Brazil Red Cross,1.0154
Brazilian Red Cross,1.0154
Bread for the World,1.0154
Bridderlech Deelen,1.0154
Bridgestone Group,1.0154
Bright Future Organization,1.0154
Bristol-Myers Squibb,1.0154
British Agencies Afghanistan Group,1.0154
British Airways,1.0154
British Council,1.0154
British Embassy in Khartoum (Sudan),1.0154
BRITISH ORG. FOR MEDICAL AND SCIENTIFIC ASSISTANCE,1.0154
British Red Cross,1.0154
British Red Cross Society,1.0154
British Virgin Islands,1.0154
Broadcasting Board of Governors,1.0154
Brookings Institute,1.0154
Brother Industries Ltd.,1.0154
Brotherhood Association humanity of Human Rights,1.0154
Brother's Brother Foundation,1.0154
Brunei Darussalam,0.8058
BTC,1.0154
B'Tselem - the Israeli Information Center for Human Rights in the Occupied Territories,1.0154
BUCO - Bureau de la Coopération Suisse,1.0154
BUCO - CRONGD,1.0154
Buco Cotonou,1.0154
Buddhist Compassion Relief Tzu Chi Foundation,1.0154
Buddist Committee of Concord Nation,1.0154
Build Change,1.0154
Build-A-Bear Workshop Foundation,1.0154
BUKKEHAVE,1.0154
Bulay Development Organization,1.0154
Bulgaria,1.0005
Bulgaria Red Cross,1.0154
Bulgarian Red Cross,1.0154
Bundesamt für Migration,1.0154
Bundesanstalt für Materialforschung und - prüfung,1.0154
Bundesanstalt Technisches Hilfswerk,1.0154
Bundesministerium der Verteidigung,1.0154
Bureau des Nations Unies en Centrafrique (United Nations Peace-Building Support Office in CAR),1.0154
Bureau des œuvres médicales diocésaines (BDOM),1.0154
Bureau Diocésain de Développement de Kindu (BDD/KINDU),1.0154
Bureau InterNational Catholique de l'Enfance,1.0154
Burger King,1.0154
Burkina Faso,1.0365
Burkina Faso Red Cross,1.0154
Burkinabe Red Cross Society,1.0154
Burma Austria Allianz,1.0154
Burnet Institute,1.0154
Burton D. Morgan Foundation,1.0154
Burundi,0.9613
Burundi Red Cross,1.0154
Burundikids e.V.,1.0154
Business & Human Rights Resource Centre,1.0154
Business and Professional Women Organization,1.0154
Business Roundtable,1.0154
Butterfly Onlus Foundation,1.0154
Buuck Family Foundation,1.0154
BWG/Changjang Water Resources Commission,1.0154
C & S Wholesale Grocers,1.0154
CAII - Creative Associates InterNational,1.0154
California Endowment,1.0154
Cambodia,1.0176
Cambodia Red Cross,1.0154
Cambodian Mine Action Centre,1.0154
Cambodian Red Cross,1.0154
Cameroon,1.0321
