Recipient Organization,recipientcodename
Action d'Espoir,NGOs
Action d'Urgence InterNational,NGOs
Action for Community Transformation Organization - Afghanistan,NGOs
Action for Independent Media,other
Action for Relief and Development,NGOs
Action for Youth & Environmental Development,other
Action on Armed Violence,NGOs
Action pour le Bien Etre Communautaire (ABC),NGOs
Action pour le Développement Intégral au Kivu,NGOs
Action pour un Monde Uni,NGOs
Action Solidarité Tiers Monde,NGOs
ActionAid,NGOs
ActionAid InterNational NEPAL,NGOs
ACTIONAID InterNational ZIMBABWE,NGOs
ActionAid-Uganda,NGOs
Actions et Interventions pour le Développement et l'Encadrement Social,NGOs
Actions Médicales InterNationale,NGOs
Actions pour la Protection et l’Encadrement de l’Enfant,NGOs
Actions pour le Developpement Integre en Mileu Rural,NGOs
Active Development Aid,NGOs
Active in Development Association,private individual organisations
Active Learning Network for Accountability and Performance,NGOs
ACU/START,other
Acumet Catholic Parish,private individual organisations
Ad Council,NGOs
ADA,NGOs
Adam's Peak,other
ADC Foundation,foundations
Admira,NGOs
Adobe,private sector corporations
ADRA Cambodia,NGOs
ADRA Canada,NGOs
ADRA Denmark,NGOs
ADRA Germany,NGOs
ADRA Nepal,NGOs
ADRA PASMIC,NGOs
ADRA Sweden,NGOs
ADRA UK,NGOs
ADRA Yemen,NGOs
ADRA Zimbabwe,NGOs
ADRA/HELP InterNational,NGOs
ADRA/SCDO,NGOs
ADRA-Haiti,NGOs
ADU_04,other
Advancement for Small Enterprise Programme,NGOs
Advantest Corporation,private sector corporations
Advent Software,private sector corporations
Adventist Development and Relief Agency ,NGOs
Adventist Development and Relief Agency - Nepal,NGOs
Adventist Development and Relief Agency (New Zealand),NGOs
Aertze der Welt e.V.,NGOs
Aerzte für die Dritte Welt,NGOs
Aetna Foundation,foundations
AFCAP,other
AFD,DAC governments
Afghan Center,other
Afghan Development Association,NGOs
Afghan Global Development Organization,NGOs
Afghan Health & Development Services,NGOs
Afghan Health and Social Assistance Organisation,NGOs
Afghan Ministry of Planning,NDD
Afghan Mobile Reconstruction Association,NGOs
Afghan NGO Security Office,NGOs
Afghan Reconstruction Trust Fund,Other pooled
Afghan Reconstruction Trust Fund ,Other pooled
Afghan Red Crescent,red cross
Afghan Red Crescent Society,red cross
Afghan Research and Evaluation Unit,academia/think/research
Afghan Social and Agricultural Affairs Rehabilitation Organization,other
Afghan Technical Consultants,private individual organisations
Afghan Women Association for Rehabilitation & Development,NGOs
Afghanaid,NGOs
Afghanischer Arzteverein in Deutschland e.V.,NGOs
Afghanistan,NDD
Afghanistan Demain,NGOs
Afghanistan Development & Educational Organization,NGOs
Afghanistan Independent Human Rights Commission,other
Afghanistan Landmine Survivors' Organisation,NGOs
Afghanistan Solidarity Organization,NGOs
Afghanistan-Hilfe e.V.,NGOs
Afkar Society for Development and Humanitarian Relief,other
Aflac,private sector corporations
Africa 2000 Network,NGOs
Africa Centre for Holistic Management,private individual organisations
Africa Directo,NGOs
Africa Humanitarian Action,NGOs
Africa Muslims Agency (Johannesburg),NGOs
African Child Outreach Trust,NGOs
African Commission Human and People's Rights,other
African Development and Emergency Organisation,NGOs
African Development Bank,Other multi
African Development Solutions,NGOs
African Educational Trust,NGOs
African Medical and Research Foundation,NGOs
African Mission in Burundi,other
African Network for the Prevention and Protection Against Child Abuse and Neglect in Somalia,NGOs
African Rescue Committee,NGOs
African Revival Ministries,NGOs
African Union,Other multi
African Union Mission in Somalia,Other multi
African Union Mission in Sudan,Other multi
African Union Mission in Sudan ,Other multi
Africare,NGOs
Africare ,NGOs
Africare/Catholic Relief Services,NGOs
Afrique Verte Mali,NGOs
Afrique Verte Niger,NGOs
Aga Khan Development Network,NGOs
Aga Khan Foundation,foundations
Aga Khan Foundation Tajikistan,NGOs
AGEF,NGOs
Agence d'Assistance aux Rapatries et Refugies au Congo,NGOs
Agencia Española de Cooperación Internacional,DAC governments
Agency for Cooperation and Research in Development,NGOs
Agency for Co-operation and Research in Development,NGOs
Agency for Peace and Development,NGOs
Agency for Rehabilitation and Development,NGOs
Agency for rehabilitation and Energy-Conservation in Afghanistan,NGOs
Agency for Technical Cooperation and Development,NGOs
Agenzia Italiana Risposta Emergenze,NGOs
Agglobe Services InterNational and the Korean Unpasan General Trading Company,other
AGHSAN,other
Agility,private sector corporations
Agricultural and Environmental Development Society,other
Agricultural Cooperative Development InterNational,NGOs
Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance,NGOs
Agricultural Cooperative Development InterNational/Volunteers in Overseas Cooperative Assistance,NGOs
Agricultural Development Association (PARC),NGOs
Agricultural Development Organisation,NGOs
Agricultural Research Corporation,academia/think/research
Agri-Systems,private sector corporations
Agriterra,private sector corporations
AGROCARE Community Development Association,private individual organisations
Agronomes et Vétérinaires Sans Frontières,NGOs
AGROSPHERE,academia/think/research
AH Dames Suisse,NGOs
AICF-F,other
Aid for Central Africa,Other multi
Aid for Refugees and Orphans,NGOs
Aide à l'Enfance de Canada,NGOs
Aide à l''Enfance de l''Inde,NGOs
Aide et Action,NGOs
Aide Médicale  InterNationale ,NGOs
AIDER,other
Aids Foundation for Children,other
AIG Disaster Relief Fund,private sector corporations
AiN - Afghanistankomiteen i Norge,other
AÏNA (Afghanistan),NGOs
Air Cargo Associates,private sector corporations
Air Charter World,private sector corporations
Air Force Contracting Augmentation Program,other
Air Products,private sector corporations
Air Serv InterNational,NGOs
Airamid Health Management,private sector corporations
Airbus Foundation,foundations
Airline Cargo Service,private sector corporations
AISHA Association for Woman and Child Protection,NGOs
AK Steel,private sector corporations
Akin Gump Strauss Hauer & Feld LLP,private sector corporations
Aktion Afrika Hilfe,NGOs
Aktion Deutschland Hilft,NGOs
Al Afran Media and Culture ,other
Al Anbar Center for Humanitarian Relief,other
Al ghara Charity Organization-Jordan,NGOs
Al Ihsan NGO,NGOs
Al Maktoum Foundation,foundations
Al Mamoura Humanitarian Establishment,NGOs
Al Manar Voluntary Organization,NGOs
Al Zubair Charity Organisation,NGOs
Al-Afeea Fund,other
Al-Ahleya Association for the development of palm and dates,NGOs
Al-Amal Charity Organization for the Disabled,NGOs
Al-Amal Community for Social Welfare,other
"Al-Aqsa Islamic Society, USA",private individual organisations
Alaska Sudan Medical Project,NGOs
Albania,NDD
Albanian Red Cross,red cross
Alcoa Foundation,foundations
Alcon Laboratories,private sector corporations
ALDHU - Latin American Association for Human Rights ,NGOs
ALDI,private sector corporations
AlertNet,NGOs
Alexander Bodini Foundation,foundations
Alfajr Palestinian Youth Association,NGOs
Algeria,NDD
Algerian Red Crescent,red cross
Algerian Red Crescent Society,red cross
ALICORP,private sector corporations
Al-Islah Association,other
Alive and kicking,NGOs
Al-Khidmat Foundation,foundations
All Hands Volunteers (previously Hands On Disaster Response),NGOs
AllianceBernstein Holding L.P.,private sector corporations
Allianz Life Insurance Company of North America ,private sector corporations
Allianz Mission,NGOs
Allocation  of unearmarked funds by UNDG/EXECCOMM Secretariat,UN Multi
Allocation from UNVTF/Mine Action,UN Multi
Allocation of unearmarked funds,other
Allocation of unearmarked funds by DPKO,UN Multi
Allocation of unearmarked funds by FAO,UN Multi
Allocation of unearmarked funds by ILO,UN Multi
Allocation of unearmarked funds by IOM,Other multi
Allocation of unearmarked funds by OCHA,UN Multi
Allocation of unearmarked funds by OHCHR,UN Multi
Allocation of unearmarked funds by UNAIDS,UN Multi
Allocation of unearmarked funds by UNDP,UN Multi
Allocation of unearmarked funds by UNDP for UNDSS,UN Multi
Allocation of unearmarked funds by UNDSS,UN Multi
Allocation of unearmarked funds by UNEP,UN Multi
Allocation of unearmarked funds by UNESCAP,UN Multi
Allocation of unearmarked funds by UNESCO,UN Multi
Allocation of unearmarked funds by UNFPA,UN Multi
Allocation of unearmarked funds by UN-HABITAT,UN Multi
Allocation of unearmarked funds by UNHCR,UN Multi
Allocation of unearmarked funds by UNICEF,UN Multi
Allocation of unearmarked funds by UNIFIL,UN Multi
Allocation of unearmarked funds by UNMAS,UN Multi
Allocation of unearmarked funds by UNOPS,UN Multi
Allocation of unearmarked funds by UNV,UN Multi
Allocation of unearmarked funds by WFP,UN Multi
Allocation of unearmarked funds by WHO,UN Multi
Allocation of unearmarked funds by WMO,UN Multi
Allstate Foundation,foundations
Almanar Voluntary Organization,NGOs
Almassar Charity Organization for Nomads,NGOs
ALNAP - Active Learning Network for Accountability and Performance,NGOs
Alnour Wal Amal Association,NGOs
Al-Ofiq Organization for Development and Emergency,other
Alola Foundation,NGOs
Alpha Ujuvi,NGOs
Alpistan,NGOs
Al-Sabeel Foundation for Social Development,foundations
Alsalam Organization for Rehabilitation and Development,NGOs
Alshroog Organization for Social and Culture Development,other
Alternative,other
Alternative/SCF-UK,NGOs
Altria Group,private sector corporations
Al-Yousser Organization for Assistance & Rehabilitation Assistance & Rehabilitation Assistance & Rehabilitation,other
Aman Organization,NGOs
AMAR Foundation,foundations
Ambassador's Authority,other
AMDA InterNational,NGOs
AMEL,NGOs
America Continental 2000,private sector corporations
American Bar Association,private individual organisations
American Center for InterNational Labor,NGOs
American Charities for Palestine,NGOs
American Council for Voluntary InterNational Action,NGOs
American Egg Board,private sector corporations
American Express Company,private sector corporations
American Friends of UNRWA,UN Multi
American Friends Service Committee,NGOs
American Institutes for Research,academia/think/research
American Jewish Joint Distribution Committee,private individual organisations
American Jewish World Service,NGOs
American Lebanese Language Center,other
American Near East Refugee Aid,NGOs
American Red Cross,red cross
American Refugee Committee,NGOs
American Rescue Committee,NGOs
Americares,NGOs
America's Development Foundation ,foundations
"Ameriprise Financial, Inc.",private sector corporations
Amgen,private sector corporations
AMICA e.V,NGOs
Amica hilft in Bosnien e.V.,NGOs
Amis des Personnes en Détresse,NGOs
Amitie sans Frontieres,NGOs
AMITY FOUNDATION,foundations
AMMAN CENTER HUMAN RIGHTS STUDIES,academia/think/research
Amnesty InterNational Norge,NGOs
AMURT (Ananda Marga Universal Relief Team) (Switzerland),NGOs
AMURT InterNational,NGOs
Amway,private sector corporations
ANA Airlines,private sector corporations
Andean Development Corporation,Other multi
Andorra,NDD
Andorran Red Cross,red cross
Angel Network,other
ANGLO AMERICAN PLC,private sector corporations
Angola,NDD
Angola Red Cross,red cross
"Anhar for Peace, Development and Humanitarian Work Organization",NGOs
"Anheuser-Busch Companies, Inc.",private sector corporations
Anna Lininger,private individual organisations
Annie E. Casey Foundation,foundations
ANSO / IRC,NGOs
Antares Foundation,foundations
Antenna Technologies Grands Lacs (ATGL),NGOs
Antigua and Barbuda,NDD
AP Moller Maersk Group,private sector corporations
APEC (Association pour la protection de l'enfance  au Congo),other
APEDE,other
APHEDA,NGOs
APOPO,NGOs
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),NGOs
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),NGOs
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),NGOs
Apostolic Christian World Relief,NGOs
"Applied Materials, Inc.",private sector corporations
Applied Research Institute Jerusalem,academia/think/research
APPRONA,other
Appui aux Femmes Démunies et Enfants Marginalisés,NGOs
Appui aux Initiatives de Bien Etre Familial,other
AQUADEV,NGOs
Arab Agronomist Association,NGOs
Arab Association for Human Rights,NGOs
Arab Authority for Agricultural Investment and Development ,Other multi
Arab Fund for Human Rights,NGOs
Arab Gulf Programme,UN Multi
Arab Gulf Programme for United Nations Development Organizations,UN Multi
Arab League,Other multi
Arab Medical Association,private individual organisations
Arab Medical Equipment and Services Organization,other
Arab Medical Union,NGOs
Arab Network for Tolerance,NGOs
Arab Physicians Federation,private individual organisations
Arab Reporters for Investigative Journalism,NGOs
Arab Women Association,NGOs
Aragti Relief and Development Organization,NGOs
Aramark,private sector corporations
Aramex InterNational,private sector corporations
Arbeiter-Samariter-Bund Deutschland e.V,NGOs
Arbeiterwohlfahrt Bayern,other
ARC EN CIEL,NGOs
ArcelorMittal Foundation,foundations
Archdiocese of Kisumu,private individual organisations
Arche de l'Alliance,private individual organisations
Arche Nova E.V. - Initiative for People in Need,NGOs
Archer Daniels Midland Company,private sector corporations
Architectes de l'urgence,foundations
Arcos Dorados B.V.,private sector corporations
"Area Staff Union, HQ/Amman",other
ARESA,private sector corporations
AREU - Afghan Research and Evaluation Unit,academia/think/research
Argentina,NDD
Argentina Red Cross,red cross
Argentine Red Cross,red cross
Argos Cement Company,private sector corporations
"ARIGATOU FOUNDATION, JAPAN",foundations
Armadilla S.c.s. Onlus,other
Armée du salut,NGOs
Armée du Salut Kalemie,NGOs
Armenia,NDD
Armenian Red Cross Society,red cross
Armenian Relief Society,NGOs
Armstrong,private sector corporations
Army Corps of Engineers,DAC governments
Arno Kobamaron CBO,other
ARTICLE 19,NGOs
Article 36,NGOs
"Arts for Peace	",NGOs
Ärzte ohne Grenzen e.V.,other
ASAL,other
Asamblea De Cooperacion Por La Paz,NGOs
ASASE,NGOs
ASCHIANA,NGOs
ASEP,other
Asia Foundation,foundations
ASIA Onlus,NGOs
Asia Pacific Permanent Representatives' Spouses Group,Other multi
Asian Development Bank,Other multi
Asian Disaster Preparedness Centre,NGOs
Asian Disaster Reduction Center,Other multi
Asian Network for Free Election,private individual organisations
Asmae Soeur Emmanuelle,private individual organisations
Asociacion de Trabajadores y Tecnicos Sin Fronteras,NGOs
Asociación de Trabajadores y Técnicos Sin Fronteras,NGOs
asociacion para la cooperacion con el sur,NGOs
Assessment Capacities Project,NGOs
Assistance Mission Africa,NGOs
Assistência Médica Internacional (AMI),NGOs
Assisting Marsh Arabs and Refugees,NGOs
Associação Saúde em Português,private individual organisations
Associated Banc-Corp,private individual organisations
Associates in Rural Development,private sector corporations
Association d'aide à la femme et de la communication,other
"Association de soutien aux refugies, aux personnes deplacees et aux detenus",other
Association Develop Horn,NGOs
Association for Aid and Relief,NGOs
Association for Aid and Relief Japan,NGOs
"Association for Cooperation, Interchange and Culture",NGOs
Association for Empowerment of Persons with Disabilities,NGOs
Association for Gender Awareness and Human Empowerment,NGOs
Association for Humanitarian Development,NGOs
Association for Humanity Development,other
Association for People's Cooperation between South and North Korea,private individual organisations
Association for Promoting Social Action,NGOs
Association for the Advancement of Democratic Rights-Legal Aid,other
Association for the Prevention of Torture,NGOs
Association Francaise de soutien a UNHCR ,UN Multi
Association française pour la prévention des catastrophes naturelles,NGOs
Association Francois-Xavier Bagnoud,NGOs
Association Fraternite Universelle,private individual organisations
Association Humanitaire AKAMASOA,NGOs
Association Idée-elles,NGOs
Association InterNationale des Soldats de la Paix,NGOs
Association libanaise de l'Ordre de Malte,foundations
Association Luxembourg Pérou,NGOs
ASSOCIATION MEDICALE FRANCO-ASIATIQUE,NGOs
Association Morija,NGOs
Association Notre Dame de Protection,other
Association of Chinese Evangelical Ministry Limited,other
Association of Christian Resource Organizations Serving Sudan,NGOs
Association of Development Awareness and Motivation,NGOs
Association of Evangelicals in Africa,other
Association of International Development Agencies,NGOs
Association of Major Superious of Religious Women in Korea,private individual organisations
Association of Southeast Asian Nations,Other multi
Association of South-North Kang-Won Province Cooperation,other
Association Persis Valais,NGOs
Association pour la Coopération Technique et au Développement,NGOs
Association pour la protection de l'enfant de la guerre,NGOs
Association pour la Santé Familiale (ASF),NGOs
Association pour le développement de M'Bres,other
Association pour le développement social et la sauvegarde de l’environnement,NGOs
Association pour le Progres et la Defense des Droits des Femmes,NGOs
Association pour les enfants oubliés,other
Association Rég. d'Appro. en Médicaments Essentiels,other
Association rwandaise des conseillers en traumatisme ,NGOs
ASSOCIATION SOLIDARITE MAROC PALESTINE,other
Associazione Amici dell’Oasis Togo,NGOs
Associazione Italiana Amici di Raoul Follereau,NGOs
Associazione Italiana per La Solidarieta Tra I Popoli (AISPO-ITA),NGOs
Associazione par la Solidarieta Internazionale in Asia,NGOs
Associazione per la cooperazione internazionale e l'aiuto umanitario,NGOs
Associazione per la Participazione allo Svillupo,NGOs
Associazione Volontari per il Servizio Internazionale,NGOs
ASSODLO - Assoc. Haïtienne pour la Maîtrise des Sols et des Eaux,other
Astellas,private sector corporations
Astoria Federal Savings,private sector corporations
AstraZeneca,private sector corporations
ASUR - Appui aux populations déplacées,NGOs
AT&T Foundation,foundations
ATAV - Assoc. Tsunami Aides aux Victimes,other
ATDL BUKAVU,other
Atlantic Philanthropies,foundations
ATLAS,foundations
Atlas Logistique,NGOs
Auschwitz-Birkenau Foundation,foundations
AUSTCARE - Australian Care for Refugees,NGOs
Australia,DAC governments
Australia for UNHCR,UN Multi
Australia Red Cross,red cross
Australian Aid InterNational,NGOs
Australian Community Assistance Scheme,DAC governments
Australian Red Cross,red cross
Australian Volunteers InterNational,NGOs
Australians Care for Refugees,NGOs
Austria,DAC governments
Austria for UNHCR,UN Multi
Austrian Development Agency,DAC governments
Austrian Embassy/Armenia,DAC governments
Austrian Red Cross,red cross
Autorités locales,other
Avenir pour les orphelins au Burundi,NGOs
Aviation Assistance A/S,private sector corporations
Aviation Sans Frontieres,NGOs
Aviation Sans Frontieres Belgium,NGOs
Aviation Sans Frontieres France,NGOs
Avocats Sans Frontieres,NGOs
Avon,private sector corporations
AVRE -Support to Victims for Emotional Recovery,other
AVREO,private sector corporations
AVSF - Agronomes y Veterinaries sans Frontières,NGOs
Award,academia/think/research
Awaz Foundation Pakistan Center for Development Services,foundations
Aweil Relief Agency for Reintegration and Development,NGOs
Aweil Window of Opportunities and Development Agency,private individual organisations
AWWD,NGOs
AXA Canada,private sector corporations
AXA Group,private sector corporations
Ayuda en Accion,NGOs
AYUUB Organization,other
Azat Foundation,NGOs
Azerbaijan,NDD
Azerbaijan Red Crescent,red cross
Azza Women Association,NGOs
B2Gold,private sector corporations
Ba Futuru / For The Future,NGOs
Bacardi Limited,private sector corporations
Backus y Cervesur,private sector corporations
Badil Resource Center for Palestinian Residency and Refugee Rights,NGOs
Badin Development Organization,NGOs
BAHA'I InterNational COMMUNITY,NGOs
Bahamas,NDD
Bahamas Red Cross,red cross
Bahamas Red Cross Society,red cross
Bahrain,NDD
Bahrain Red Crescent,red cross
Bahrain Red Crescent Society,red cross
Bakpiny Community Development Agency,NGOs
Balancing entry of ERF allocations,other
"Balay Mindanaw Foundation, Inc.",foundations
Balcombe,other
Balkanactive van de gemeenten,NGOs
Balochistan Environmental and Educational Journey,NGOs
Balochistan Rural Development Society,NGOs
Baluchistan Boys Scouts Association,other
BAM - Federal Institute for Materials Research and Testing,DAC governments
Banesco Bank Venezuela,private sector corporations
Bangladesh,NDD
Bangladesh Red Crescent Society,red cross
Bangladesh Rural Advancement Committee,NGOs
Bank of America Corporation,private sector corporations
Bank of Palestine,private sector corporations
Bank of West,private sector corporations
BAPPENAS - Indonesia National Development Planning Agency,NDD
Baptist Aotearoa NZ Aid,NGOs
Baptist World Aid,NGOs
Bär + Leu,other
Barbados,NDD
Barbados Red Cross,red cross
Barbados Red Cross Society,red cross
Barclay's Foundation,foundations
Barclays Ghana,private sector corporations
Barneombudet,NGOs
BASF,private sector corporations
Bashaer,other
Basic Education and Employable Skill Training,other
Basic Needs,other
Baxter InterNational Foundation,foundations
Bayer,private sector corporations
BBC World Service Trust,NGOs
BCIE,private sector corporations
BD,other
BDC Anglican,private individual organisations
BDCD,other
BDD BUKAVU,private individual organisations
BDD Kasongo,private individual organisations
Beaconhouse,other
Bearing Point,private sector corporations
Bechtel,private sector corporations
"Becton, Dickson and Company",private sector corporations
Bel Avenir,other
Belarus,NDD
Belarus Red Cross,red cross
Belarusian Red Cross,red cross
Belgian Air Force,DAC governments
Belgian First Aid and Support Team,DAC governments
Belgian Red Cross,red cross
Belgium,DAC governments
Belgium Red Cross,red cross
Belize,NDD
Belize Red Cross,red cross
Belize Red Cross Society,red cross
Belun,other
Benfica Foundation,foundations
Benin,NDD
Benposta Nación de Muchachos,NGOs
BEPROD,private sector corporations
Berkat,NGOs
Bernard van Leer Foundation,foundations
Berne helps Lviv,other
Berne University,academia/think/research
Bertelsmann AG,private sector corporations
Best Buy Children's Foundation,foundations
"Best Buy Co., Inc. ",private sector corporations
BGR - German Federal Institute for Geosciences and Natural Resources ,academia/think/research
BHN Association -Telecom for Basic Human Needs,NGOs
Bhutan,NDD
BID,private sector corporations
Bidan Kesehatan Department of Health Indonesia,NDD
Bienvenu Refugee Shelter,NGOs
BIJOU Trust,private individual organisations
Bilateral (to affected government),NDD
Bilkent Holding,private sector corporations
Bill and Melinda Gates Foundation,foundations
Bill Emerson Humanitarian Trust,other
Bioforce,private sector corporations
Biogen Idec,private sector corporations
Biomet Inc.,private sector corporations
Birdlife InterNational,other
Bjerknes Centre for Climate Research,academia/think/research
blank,other
BLD - Barne- og likestillingsdepartementet,DAC governments
Blés du désert,NGOs
Bloomberg,private sector corporations
"Blue Cross and Blue Shield of Minnesota Foundation, Inc.",foundations
BLU-MED Response Systems ,private sector corporations
BMaA,other
BMI,private sector corporations
BMO Financial Group,private individual organisations
BMVg,DAC governments
BMW Group,private individual organisations
BNPP,private sector corporations
Boeing Company,private sector corporations
BOLHISPANIA,private sector corporations
Bolivia,NDD
Bolivia Red Cross,red cross
Bolivian Red Cross,red cross
Bolivian Red Cross,red cross
Booz Allen Hamilton,private sector corporations
BorgWarner,private sector corporations
Bosnia & Herzegovina,NDD
Bosnian Red Crescent Society,red cross
Boston Archiepiscopal Diocese,private individual organisations
Boston Foundation,foundations
Boston Foundation (Ansara Family Fund),foundations
Botswana,NDD
Botswana Red Cross,red cross
Botswana Red Cross Society,red cross
BP Foundation,foundations
BRASCRI ,NGOs
Brazil,NDD
Brazil Red Cross,red cross
Brazilian Red Cross,red cross
Bread for the World,NGOs
Bridderlech Deelen,private individual organisations
Bridgestone Group,private sector corporations
Bright Future Organization,NGOs
Bristol-Myers Squibb,private sector corporations
British Agencies Afghanistan Group,other
British Airways,private sector corporations
British Council,NGOs
British Embassy in Khartoum (Sudan),DAC governments
BRITISH ORG. FOR MEDICAL AND SCIENTIFIC ASSISTANCE,other
British Red Cross,red cross
British Red Cross Society,red cross
British Virgin Islands,NDD
Broadcasting Board of Governors,other
Brookings Institute,academia/think/research
Brother Industries Ltd.,private sector corporations
Brotherhood Association humanity of Human Rights,private individual organisations
Brother's Brother Foundation,foundations
Brunei Darussalam,NDD
BTC,other
B'Tselem - the Israeli Information Center for Human Rights in the Occupied Territories,academia/think/research
BUCO - Bureau de la Coopération Suisse,DAC governments
BUCO - CRONGD,DAC governments
Buco Cotonou,DAC governments
Buddhist Compassion Relief Tzu Chi Foundation,foundations
Buddist Committee of Concord Nation,private individual organisations
Build Change,NGOs
Build-A-Bear Workshop Foundation,foundations
BUKKEHAVE,private sector corporations
Bulay Development Organization,NGOs
Bulgaria,NDD
Bulgaria Red Cross,red cross
Bulgarian Red Cross,red cross
Bundesamt für Migration,private individual organisations
Bundesanstalt für Materialforschung und - prüfung,private sector corporations
Bundesanstalt Technisches Hilfswerk,DAC governments
Bundesministerium der Verteidigung,DAC governments
Bureau des Nations Unies en Centrafrique (United Nations Peace-Building Support Office in CAR),UN Multi
Bureau des œuvres médicales diocésaines (BDOM),private individual organisations
Bureau Diocésain de Développement de Kindu (BDD/KINDU),NGOs
Bureau InterNational Catholique de l'Enfance,private individual organisations
Burger King,private sector corporations
Burkina Faso,NDD
Burkina Faso Red Cross,red cross
Burkinabe Red Cross Society,red cross
Burma Austria Allianz,private sector corporations
Burnet Institute,academia/think/research
Burton D. Morgan Foundation,foundations
Burundi,NDD
Burundi Red Cross,red cross
Burundikids e.V.,NGOs
Business & Human Rights Resource Centre,NGOs
Business and Professional Women Organization,Other multi
Business Roundtable,private sector corporations
Butterfly Onlus Foundation,foundations
Buuck Family Foundation,foundations
BWG/Changjang Water Resources Commission,DAC governments
C & S Wholesale Grocers,private sector corporations
CAII - Creative Associates InterNational,private sector corporations
California Endowment,private sector corporations
Cambodia,NDD
Cambodia Red Cross,red cross
Cambodian Mine Action Centre,NGOs
Cambodian Red Cross,red cross
Cameroon,NDD
Cameroun,NDD
