Donor,privatemoney
ACTIONAID InterNational ZIMBABWE,no
ActionAid-Uganda,no
Actions et Interventions pour le Développement et l'Encadrement Social,no
Actions Médicales InterNationale,no
Actions pour la Protection et l’Encadrement de l’Enfant,no
Actions pour le Developpement Integre en Mileu Rural,no
Active Development Aid,no
Active in Development Association,private
Active Learning Network for Accountability and Performance,no
ACU/START,no
Acumet Catholic Parish,private
Ad Council,no
ADA,no
Adam's Peak,no
ADC Foundation,private
Admira,no
Adobe,private
ADRA Cambodia,no
ADRA Canada,no
ADRA Denmark,no
ADRA Germany,no
ADRA Nepal,no
ADRA PASMIC,no
ADRA Sweden,no
ADRA UK,no
ADRA Yemen,no
ADRA Zimbabwe,no
ADRA/HELP InterNational,no
ADRA/SCDO,no
ADRA-Haiti,no
ADU_04,no
Advancement for Small Enterprise Programme,no
Advantest Corporation,private
Advent Software,private
Adventist Development and Relief Agency ,no
Adventist Development and Relief Agency - Nepal,no
Adventist Development and Relief Agency (New Zealand),no
Aertze der Welt e.V.,no
Aerzte für die Dritte Welt,no
Aetna Foundation,private
AFCAP,no
AFD,no
Afghan Center,no
Afghan Development Association,no
Afghan Global Development Organization,no
Afghan Health & Development Services,no
Afghan Health and Social Assistance Organisation,no
Afghan Ministry of Planning,no
Afghan Mobile Reconstruction Association,no
Afghan NGO Security Office,no
Afghan Reconstruction Trust Fund,no
Afghan Reconstruction Trust Fund ,no
Afghan Red Crescent,no
Afghan Red Crescent Society,no
Afghan Research and Evaluation Unit,no
Afghan Social and Agricultural Affairs Rehabilitation Organization,no
Afghan Technical Consultants,private
Afghan Women Association for Rehabilitation & Development,no
Afghanaid,no
Afghanischer Arzteverein in Deutschland e.V.,no
Afghanistan,no
Afghanistan Demain,no
Afghanistan Development & Educational Organization,no
Afghanistan Independent Human Rights Commission,no
Afghanistan Landmine Survivors' Organisation,no
Afghanistan Solidarity Organization,no
Afghanistan-Hilfe e.V.,no
Afkar Society for Development and Humanitarian Relief,no
Aflac,private
Africa 2000 Network,no
Africa Centre for Holistic Management,private
Africa Directo,no
Africa Humanitarian Action,no
Africa Muslims Agency (Johannesburg),no
African Child Outreach Trust,no
African Commission Human and People's Rights,no
African Development and Emergency Organisation,no
African Development Bank,no
African Development Solutions,no
African Educational Trust,no
African Medical and Research Foundation,no
African Mission in Burundi,no
African Network for the Prevention and Protection Against Child Abuse and Neglect in Somalia,no
African Rescue Committee,no
African Revival Ministries,no
African Union,no
African Union Mission in Somalia,no
African Union Mission in Sudan,no
African Union Mission in Sudan ,no
Africare,no
Africare ,no
Africare/Catholic Relief Services,no
Afrique Verte Mali,no
Afrique Verte Niger,no
Aga Khan Development Network,no
Aga Khan Foundation,private
Aga Khan Foundation Tajikistan,no
AGEF,no
Agence d'Assistance aux Rapatries et Refugies au Congo,no
Agencia Española de Cooperación Internacional,no
Agency for Cooperation and Research in Development,no
Agency for Co-operation and Research in Development,no
Agency for Peace and Development,no
Agency for Rehabilitation and Development,no
Agency for rehabilitation and Energy-Conservation in Afghanistan,no
Agency for Technical Cooperation and Development,no
Agenzia Italiana Risposta Emergenze,private
Agglobe Services InterNational and the Korean Unpasan General Trading Company,no
AGHSAN,no
Agility,private
Agricultural and Environmental Development Society,no
Agricultural Cooperative Development InterNational,no
Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance,no
Agricultural Cooperative Development InterNational/Volunteers in Overseas Cooperative Assistance,no
Agricultural Development Association (PARC),no
Agricultural Development Organisation,no
Agricultural Research Corporation,no
Agri-Systems,private
Agriterra,private
AGROCARE Community Development Association,private
Agronomes et Vétérinaires Sans Frontières,no
AGROSPHERE,no
AH Dames Suisse,no
AICF-F,no
Aid for Central Africa,no
Aid for Refugees and Orphans,no
Aide à l'Enfance de Canada,no
Aide à l''Enfance de l''Inde,no
Aide et Action,no
Aide Médicale  InterNationale ,no
AIDER,no
Aids Foundation for Children,no
AIG Disaster Relief Fund,private
AiN - Afghanistankomiteen i Norge,no
AÏNA (Afghanistan),no
Air Cargo Associates,private
Air Charter World,private
Air Force Contracting Augmentation Program,no
Air Products,private
Air Serv InterNational,no
Airamid Health Management,private
Airbus Foundation,private
Airline Cargo Service,private
AISHA Association for Woman and Child Protection,no
AK Steel,private
Akin Gump Strauss Hauer & Feld LLP,private
Aktion Afrika Hilfe,no
Aktion Deutschland Hilft,no
Al Afran Media and Culture ,no
Al Anbar Center for Humanitarian Relief,no
Al ghara Charity Organization-Jordan,no
Al Ihsan NGO,no
Al Maktoum Foundation,private
Al Mamoura Humanitarian Establishment,no
Al Manar Voluntary Organization,no
Al Zubair Charity Organisation,no
Al-Afeea Fund,no
Al-Ahleya Association for the development of palm and dates,no
Al-Amal Charity Organization for the Disabled,no
Al-Amal Community for Social Welfare,no
"Al-Aqsa Islamic Society, USA",private
Alaska Sudan Medical Project,no
Albania,no
Albanian Red Cross,no
Alcoa Foundation,private
Alcon Laboratories,private
ALDHU - Latin American Association for Human Rights ,no
ALDI,private
AlertNet,no
Alexander Bodini Foundation,private
Alfajr Palestinian Youth Association,no
Algeria,no
Algerian Red Crescent,no
Algerian Red Crescent Society,no
ALICORP,private
Al-Islah Association,no
Alive and kicking,no
Al-Khidmat Foundation,private
All Hands Volunteers (previously Hands On Disaster Response),no
AllianceBernstein Holding L.P.,private
Allianz Life Insurance Company of North America ,private
Allianz Mission,no
Allocation  of unearmarked funds by UNDG/EXECCOMM Secretariat,no
Allocation from UNVTF/Mine Action,no
Allocation of unearmarked funds,no
Allocation of unearmarked funds by DPKO,no
Allocation of unearmarked funds by FAO,no
Allocation of unearmarked funds by ILO,no
Allocation of unearmarked funds by IOM,no
Allocation of unearmarked funds by OCHA,no
Allocation of unearmarked funds by OHCHR,no
Allocation of unearmarked funds by UNAIDS,no
Allocation of unearmarked funds by UNDP,no
Allocation of unearmarked funds by UNDP for UNDSS,no
Allocation of unearmarked funds by UNDSS,no
Allocation of unearmarked funds by UNEP,no
Allocation of unearmarked funds by UNESCAP,no
Allocation of unearmarked funds by UNESCO,no
Allocation of unearmarked funds by UNFPA,no
Allocation of unearmarked funds by UN-HABITAT,no
Allocation of unearmarked funds by UNHCR,no
Allocation of unearmarked funds by UNICEF,no
Allocation of unearmarked funds by UNIFIL,no
Allocation of unearmarked funds by UNMAS,no
Allocation of unearmarked funds by UNOPS,no
Allocation of unearmarked funds by UNV,no
Allocation of unearmarked funds by WFP,no
Allocation of unearmarked funds by WHO,no
Allocation of unearmarked funds by WMO,no
Allstate Foundation,private
Almanar Voluntary Organization,no
Almassar Charity Organization for Nomads,no
ALNAP - Active Learning Network for Accountability and Performance,no
Alnour Wal Amal Association,no
Al-Ofiq Organization for Development and Emergency,no
Alola Foundation,no
Alpha Ujuvi,no
Alpistan,no
Al-Sabeel Foundation for Social Development,private
Alsalam Organization for Rehabilitation and Development,no
Alshroog Organization for Social and Culture Development,no
Alternative,no
Alternative/SCF-UK,no
Altria Group,private
Al-Yousser Organization for Assistance & Rehabilitation Assistance & Rehabilitation Assistance & Rehabilitation,no
Aman Organization,no
AMAR Foundation,private
Ambassador's Authority,no
AMDA InterNational,no
AMEL,no
America Continental 2000,private
American Bar Association,private
American Center for InterNational Labor,no
American Charities for Palestine,no
American Council for Voluntary InterNational Action,no
American Egg Board,private
American Express Company,private
American Friends of UNRWA,no
American Friends Service Committee,no
American Institutes for Research,no
American Jewish Joint Distribution Committee,private
American Jewish World Service,no
American Lebanese Language Center,no
American Near East Refugee Aid,no
American Red Cross,no
American Refugee Committee,no
American Rescue Committee,no
Americares,no
America's Development Foundation ,private
"Ameriprise Financial, Inc.",private
Amgen,private
AMICA e.V,no
Amica hilft in Bosnien e.V.,no
Amis des Personnes en Détresse,no
Amitie sans Frontieres,no
AMITY FOUNDATION,private
AMMAN CENTER HUMAN RIGHTS STUDIES,no
Amnesty InterNational Norge,no
AMURT (Ananda Marga Universal Relief Team) (Switzerland),no
AMURT InterNational,no
Amway,private
ANA Airlines,private
Andean Development Corporation,no
Andorra,no
Andorran Red Cross,no
Angel Network,no
ANGLO AMERICAN PLC,private
Angola,no
Angola Red Cross,no
"Anhar for Peace, Development and Humanitarian Work Organization",no
"Anheuser-Busch Companies, Inc.",private
Anna Lininger,private
Annie E. Casey Foundation,private
ANSO / IRC,no
Antares Foundation,private
Antenna Technologies Grands Lacs (ATGL),no
Antigua and Barbuda,no
AP Moller Maersk Group,private
APEC (Association pour la protection de l'enfance  au Congo),no
APEDE,no
APHEDA,no
APOPO,no
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),no
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),no
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),no
Apostolic Christian World Relief,no
"Applied Materials, Inc.",private
Applied Research Institute Jerusalem,no
APPRONA,no
Appui aux Femmes Démunies et Enfants Marginalisés,no
Appui aux Initiatives de Bien Etre Familial,no
AQUADEV,no
Arab Agronomist Association,no
Arab Association for Human Rights,no
Arab Authority for Agricultural Investment and Development ,no
Arab Fund for Human Rights,no
Arab Gulf Programme,no
Arab Gulf Programme for United Nations Development Organizations,no
Arab League,no
Arab Medical Association,private
Arab Medical Equipment and Services Organization,no
Arab Medical Union,no
Arab Network for Tolerance,no
Arab Physicians Federation,private
Arab Reporters for Investigative Journalism,no
Arab Women Association,no
Aragti Relief and Development Organization,no
Aramark,private
Aramex InterNational,private
Arbeiter-Samariter-Bund Deutschland e.V,no
Arbeiterwohlfahrt Bayern,no
ARC EN CIEL,no
ArcelorMittal Foundation,private
Archdiocese of Kisumu,private
Arche de l'Alliance,private
Arche Nova E.V. - Initiative for People in Need,no
Archer Daniels Midland Company,private
Architectes de l'urgence,private
Arcos Dorados B.V.,private
"Area Staff Union, HQ/Amman",no
ARESA,private
AREU - Afghan Research and Evaluation Unit,no
Argentina,no
Argentina Red Cross,no
Argentine Red Cross,no
Argos Cement Company,private
"ARIGATOU FOUNDATION, JAPAN",private
Armadilla S.c.s. Onlus,no
Armée du salut,no
Armée du Salut Kalemie,no
Armenia,no
Armenian Red Cross Society,no
Armenian Relief Society,no
Armstrong,private
Army Corps of Engineers,no
Arno Kobamaron CBO,no
ARTICLE 19,no
Article 36,no
"Arts for Peace	",no
Ärzte ohne Grenzen e.V.,no
ASAL,no
Asamblea De Cooperacion Por La Paz,no
ASASE,no
ASCHIANA,no
ASEP,no
Asia Foundation,private
ASIA Onlus,no
Asia Pacific Permanent Representatives' Spouses Group,no
Asian Development Bank,no
Asian Disaster Preparedness Centre,no
Asian Disaster Reduction Center,no
Asian Network for Free Election,private
Asmae Soeur Emmanuelle,private
Asociacion de Trabajadores y Tecnicos Sin Fronteras,no
Asociación de Trabajadores y Técnicos Sin Fronteras,no
asociacion para la cooperacion con el sur,no
Assessment Capacities Project,no
Assistance Mission Africa,no
Assistência Médica Internacional (AMI),no
Assisting Marsh Arabs and Refugees,no
Associação Saúde em Português,private
Associated Banc-Corp,private
Associates in Rural Development,private
Association d'aide à la femme et de la communication,no
"Association de soutien aux refugies, aux personnes deplacees et aux detenus",no
Association Develop Horn,no
Association for Aid and Relief,no
Association for Aid and Relief Japan,no
"Association for Cooperation, Interchange and Culture",no
Association for Empowerment of Persons with Disabilities,no
Association for Gender Awareness and Human Empowerment,no
Association for Humanitarian Development,no
Association for Humanity Development,no
Association for People's Cooperation between South and North Korea,private
Association for Promoting Social Action,no
Association for the Advancement of Democratic Rights-Legal Aid,no
Association for the Prevention of Torture,no
Association Francaise de soutien a UNHCR ,no
Association française pour la prévention des catastrophes naturelles,no
Association Francois-Xavier Bagnoud,no
Association Fraternite Universelle,private
Association Humanitaire AKAMASOA,no
Association Idée-elles,no
Association InterNationale des Soldats de la Paix,no
Association libanaise de l'Ordre de Malte,private
Association Luxembourg Pérou,no
ASSOCIATION MEDICALE FRANCO-ASIATIQUE,no
Association Morija,no
Association Notre Dame de Protection,no
Association of Chinese Evangelical Ministry Limited,no
Association of Christian Resource Organizations Serving Sudan,no
Association of Development Awareness and Motivation,no
Association of Evangelicals in Africa,no
Association of International Development Agencies,no
Association of Major Superious of Religious Women in Korea,private
Association of Southeast Asian Nations,no
Association of South-North Kang-Won Province Cooperation,no
Association Persis Valais,no
Association pour la Coopération Technique et au Développement,no
Association pour la protection de l'enfant de la guerre,no
Association pour la Santé Familiale (ASF),no
Association pour le développement de M'Bres,no
Association pour le développement social et la sauvegarde de l’environnement,no
Association pour le Progres et la Defense des Droits des Femmes,no
Association pour les enfants oubliés,no
Association Rég. d'Appro. en Médicaments Essentiels,no
Association rwandaise des conseillers en traumatisme ,no
ASSOCIATION SOLIDARITE MAROC PALESTINE,no
Associazione Amici dell’Oasis Togo,no
Associazione Italiana Amici di Raoul Follereau,no
Associazione Italiana per La Solidarieta Tra I Popoli (AISPO-ITA),no
Associazione par la Solidarieta Internazionale in Asia,no
Associazione per la cooperazione internazionale e l'aiuto umanitario,no
Associazione per la Participazione allo Svillupo,no
Associazione Volontari per il Servizio Internazionale,no
ASSODLO - Assoc. Haïtienne pour la Maîtrise des Sols et des Eaux,no
Astellas,private
Astoria Federal Savings,private
AstraZeneca,private
ASUR - Appui aux populations déplacées,no
AT&T Foundation,private
ATAV - Assoc. Tsunami Aides aux Victimes,no
ATDL BUKAVU,no
Atlantic Philanthropies,private
ATLAS,private
Atlas Logistique,no
Auschwitz-Birkenau Foundation,private
AUSTCARE - Australian Care for Refugees,no
Australia,no
Australia for UNHCR,no
Australia Red Cross,no
Australian Aid InterNational,no
Australian Community Assistance Scheme,no
Australian Red Cross,no
Australian Volunteers InterNational,no
Australians Care for Refugees,no
Austria,no
Austria for UNHCR,no
Austrian Development Agency,no
Austrian Embassy/Armenia,no
Austrian Red Cross,no
Autorités locales,no
Avenir pour les orphelins au Burundi,no
Aviation Assistance A/S,private
Aviation Sans Frontieres,no
Aviation Sans Frontieres Belgium,no
Aviation Sans Frontieres France,no
Avocats Sans Frontieres,no
Avon,private
AVRE -Support to Victims for Emotional Recovery,no
AVREO,private
AVSF - Agronomes y Veterinaries sans Frontières,no
Award,no
Awaz Foundation Pakistan Center for Development Services,private
Aweil Relief Agency for Reintegration and Development,no
Aweil Window of Opportunities and Development Agency,private
AWWD,no
AXA Canada,private
AXA Group,private
Ayuda en Accion,no
AYUUB Organization,no
Azat Foundation,no
Azerbaijan,no
Azerbaijan Red Crescent,no
Azza Women Association,no
B2Gold,private
Ba Futuru / For The Future,no
Bacardi Limited,private
Backus y Cervesur,private
Badil Resource Center for Palestinian Residency and Refugee Rights,no
Badin Development Organization,no
BAHA'I InterNational COMMUNITY,no
Bahamas,no
Bahamas Red Cross,no
Bahamas Red Cross Society,no
Bahrain,no
Bahrain Red Crescent,no
Bahrain Red Crescent Society,no
Bakpiny Community Development Agency,no
Balancing entry of ERF allocations,no
"Balay Mindanaw Foundation, Inc.",private
Balcombe,no
Balkanactive van de gemeenten,no
Balochistan Environmental and Educational Journey,no
Balochistan Rural Development Society,no
Baluchistan Boys Scouts Association,no
BAM - Federal Institute for Materials Research and Testing,no
Banesco Bank Venezuela,private
Bangladesh,no
Bangladesh Red Crescent Society,no
Bangladesh Rural Advancement Committee,no
Bank of America Corporation,private
Bank of Palestine,private
Bank of West,private
BAPPENAS - Indonesia National Development Planning Agency,no
Baptist Aotearoa NZ Aid,no
Baptist World Aid,no
Bär + Leu,no
Barbados,no
Barbados Red Cross,no
Barbados Red Cross Society,no
Barclay's Foundation,private
Barclays Ghana,private
Barneombudet,no
BASF,private
Bashaer,no
Basic Education and Employable Skill Training,no
Basic Needs,no
Baxter InterNational Foundation,private
Bayer,private
BBC World Service Trust,no
BCIE,private
BD,no
BDC Anglican,private
BDCD,no
BDD BUKAVU,private
BDD Kasongo,private
Beaconhouse,no
Bearing Point,private
Bechtel,private
"Becton, Dickson and Company",private
Bel Avenir,no
Belarus,no
Belarus Red Cross,no
Belarusian Red Cross,no
Belgian Air Force,no
Belgian First Aid and Support Team,no
Belgian Red Cross,no
Belgium,no
Belgium Red Cross,no
Belize,no
Belize Red Cross,no
Belize Red Cross Society,no
Belun,no
Benfica Foundation,private
Benin,no
Benposta Nación de Muchachos,no
BEPROD,private
Berkat,no
Bernard van Leer Foundation,private
Berne helps Lviv,no
Berne University,no
Bertelsmann AG,private
Best Buy Children's Foundation,private
"Best Buy Co., Inc. ",private
BGR - German Federal Institute for Geosciences and Natural Resources ,no
BHN Association -Telecom for Basic Human Needs,no
Bhutan,no
BID,private
Bidan Kesehatan Department of Health Indonesia,no
Bienvenu Refugee Shelter,no
BIJOU Trust,private
Bilateral (to affected government),no
Bilkent Holding,private
Bill and Melinda Gates Foundation,private
Bill Emerson Humanitarian Trust,no
Bioforce,private
Biogen Idec,private
Biomet Inc.,private
Birdlife InterNational,no
Bjerknes Centre for Climate Research,no
blank,no
BLD - Barne- og likestillingsdepartementet,no
Blés du désert,no
Bloomberg,private
"Blue Cross and Blue Shield of Minnesota Foundation, Inc.",private
BLU-MED Response Systems ,private
BMaA,no
BMI,private
BMO Financial Group,private
BMVg,no
BMW Group,private
BNPP,private
Boeing Company,private
BOLHISPANIA,private
Bolivia,no
Bolivia Red Cross,no
Bolivian Red Cross,no
Bolivian Red Cross,no
Booz Allen Hamilton,private
BorgWarner,private
Bosnia & Herzegovina,no
Bosnian Red Crescent Society,no
Boston Archiepiscopal Diocese,private
Boston Foundation,private
Boston Foundation (Ansara Family Fund),private
Botswana,no
Botswana Red Cross,no
Botswana Red Cross Society,no
BP Foundation,private
BRASCRI ,no
Brazil,no
Brazil Red Cross,no
Brazilian Red Cross,no
Bread for the World,no
Bridderlech Deelen,private
Bridgestone Group,private
Bright Future Organization,no
Bristol-Myers Squibb,private
British Agencies Afghanistan Group,no
British Airways,private
British Council,no
British Embassy in Khartoum (Sudan),no
BRITISH ORG. FOR MEDICAL AND SCIENTIFIC ASSISTANCE,no
British Red Cross,no
British Red Cross Society,no
British Virgin Islands,no
Broadcasting Board of Governors,no
Brookings Institute,no
Brother Industries Ltd.,private
Brotherhood Association humanity of Human Rights,private
Brother's Brother Foundation,private
Brunei Darussalam,no
BTC,no
B'Tselem - the Israeli Information Center for Human Rights in the Occupied Territories,no
BUCO - Bureau de la Coopération Suisse,no
BUCO - CRONGD,no
Buco Cotonou,no
Buddhist Compassion Relief Tzu Chi Foundation,private
Buddist Committee of Concord Nation,private
Build Change,no
Build-A-Bear Workshop Foundation,private
BUKKEHAVE,private
Bulay Development Organization,no
Bulgaria,no
Bulgaria Red Cross,no
Bulgarian Red Cross,no
Bundesamt für Migration,private
Bundesanstalt für Materialforschung und - prüfung,private
Bundesanstalt Technisches Hilfswerk,no
Bundesministerium der Verteidigung,no
Bureau des Nations Unies en Centrafrique (United Nations Peace-Building Support Office in CAR),no
Bureau des œuvres médicales diocésaines (BDOM),private
Bureau Diocésain de Développement de Kindu (BDD/KINDU),no
Bureau InterNational Catholique de l'Enfance,private
Burger King,private
Burkina Faso,no
Burkina Faso Red Cross,no
Burkinabe Red Cross Society,no
Burma Austria Allianz,private
Burnet Institute,no
Burton D. Morgan Foundation,private
Burundi,no
Burundi Red Cross,no
Burundikids e.V.,no
Business & Human Rights Resource Centre,no
Business and Professional Women Organization,no
Business Roundtable,private
Butterfly Onlus Foundation,private
Buuck Family Foundation,private
BWG/Changjang Water Resources Commission,no
C & S Wholesale Grocers,private
CAII - Creative Associates InterNational,private
California Endowment,private
Cambodia,no
Cambodia Red Cross,no
Cambodian Mine Action Centre,no
Cambodian Red Cross,no
Cameroon,no
Cameroun,no
Camp Dresser and McKee Incorporated,private
Campagne Suisse Contre les Mines Antipersonnel,no
Campana Colombiana Contra Minas,no
Campbell Soup CO,private
CAMPS/CELPA,private
CAN FOUNDATION ,private
Canada,no
Canada InterNational Demining Corps,no
Canada Safeway Foundation,private
CANADEM,no
Canadian Baptist Ministries,private
Canadian Catholic Organization for Development and Peace,no
Canadian Coalition,no
Canadian Development and Peace,no
Canadian Food for the Hungry InterNational,no
Canadian Food Grains Bank,no
Canadian Funds for Local Initiatives,no
Canadian Healthcare Association,private
Canadian InterNational Development Agency/InterNational Humanitarian Assistance,no
Canadian Journalist/Free Expr,no
Canadian Journalists Free Expression,no
Canadian Journalists Free Expression ,no
Canadian National Railway Company,private
Canadian Physicians for Aid and Relief,no
Canadian Red Cross Society,no
Canadian Relief Foundation,private
Candle Light,no
Canon Group,private
Cape Verde Red Cross,no
CARAES,no
"Cardinal Health, Inc.  ",private
CARE and SC/US,no
CARE Australia,no
CARE Austria,no
CARE Canada,no
Care Czech Republic,no
CARE France,no
Care Germany,no
CARE InterNational,no
CARE InterNational Switzerland in Sudan,no
CARE Kenya,no
CARE Myanmar,no
CARE Nepal,no
CARE Netherlands,no
CARE Norway,no
Care Peru,no
CARE Somalia,no
Care Sudan,no
CARE USA,no
CareFusion Corporation,no
CareSource Foundation,private
Carestream Health,private
CARE-UK,no
Cargill,private
Caribbean Development Bank,no
Caribbean Disaster Emergency Response Agency,no
CARICOM Regional Development Programme,no
CARITAS,no
CARITAS / Catholic Relief Services,no
CARITAS Allemagne (DCV),no
Caritas Australia,no
Caritas Austria,no
CARITAS BUKAVU,no
CARITAS BUNIA,no
CARITAS BUTEMBO,no
Caritas Congo,no
Caritas Czech Republic,no
Caritas Denmark,no
CARITAS DEV GOMA,no
Caritas Dev Kalemie,no
Caritas Développement,no
Caritas Développement DRC,no
CARITAS DUNGU,no
Caritas France,no
Caritas Germany,no
Caritas Germany (DCV),no
Caritas Haiti,no
Caritas Hong kong,no
Caritas Hungary,no
Caritas India,no
CARITAS InterNationalIS,no
Caritas Jerusalem,no
Caritas Kananga,no
Caritas Katanga,no
CARITAS KINDU,no
Caritas Lebanon Migrants Center,no
Caritas Manila,no
CARITAS Mbandaka,no
CARITAS MBUJIMAYI,no
Caritas New Zealand,no
Caritas Norway,no
Caritas Peru,no
Caritas Spain,no
Caritas Sweden,no
Caritas Switzerland,no
CARITAS TCHUMBE,no
CARITAS UVIRA,no
CARITAS UVIRA,no
Caritas/MCC,no
Carl Duisberg Gesellschaft,no
Carlson Wagonlit Travel Beheermaatschappij,private
Carnegie Corporation of New York,private
Carnival Corporations,private
Carry-over (donors not specified),no
Casals and Associates,private
Cascos Blancos - Argentina,no
Casio,private
Catalan Agency for Development Cooperation,no
"Caterpillar, Inc.",private
Catholic Agency for Overseas Development,no
Catholic Church of Khartoum,private
"Catholic Church, Germany",private
Catholic Commisssion for Justice and Peace,no
Catholic Development Commission,no
Catholic Diocese of Erie,private
Catholic Diocese of Kericho,private
Catholic Diocese of Nakuru,private
Catholic Diocese of Torit,private
Catholic Medical Missons Board,no
Catholic Migration Commission,no
Catholic Mission,private
Catholic Organisation for Relief and Development Aid,no
Catholic Peace Movement,no
Catholic Priest Association for Justice,private
Catholic Relief Services,no
Caucasus Environmental NGO Network,no
Caucasus Environmental NGO Network ,no
CAUSE Canada,no
Cavish Development Foundation,no
CCD,no
CCD,no
Cchin HR Organization,no
CCI Coin Co. InterNational,private
CDA Collaborative Learning Projects. Inc.,no
CDE - University Berne,no
CE & S,no
Cedar Fund,private
CEDI,no
CEFA,private
Ceilu,no
CEMUBAC (Belgian medical NGO),no
Centarl Regions Livestock Professional Association,private
Centarl Regions Livestock Professional Association,private
Center for  Civil Military Relations,no
Center for Citizenship Education,private
Center for Culture and Development,no
Center for Defending Freedom of Journalists,no
Center for Disease Control and Prevention,no
Center for Human Rights and Democratic Participation,no
Center for Humanitarian Services,private
Center for International Studies and Cooperation,no
CENTER FOR JUSTICE AND INT. LAW,no
Center for Peace and Democracy,no
Center for Research on the Epidemiology of Disasters,no
Center for the Defence of the Individual,no
Center for Victims of Torture,no
Center of Excellence for Rural Development,no
Central African Red Cross,no
Central African Red Cross Society,no
Central African Republic,no
"Central Asian Free Exchange, USA",no
Central Community Chest of Japan,private
Central Ecuatoriana de Servicios Agricolas,private
Central Emergency Response Fund,no
Central Minnesota Community Foundation ,private
Central Social,no
Centre canadien d'étude et de coopération InterNationale (CECI),no
Centre d'action pour le dévéloppement,no
Centre d'Alerte et de Prevention des Conflits,no
